localAuthority,authorityName,industryCode,industryName,observation
E07000079,Cotswold,7,"O, P, Q Public administration, education and health",10525
E07000080,Forest of Dean,7,"O, P, Q Public administration, education and health",11794
E07000081,Gloucester,7,"O, P, Q Public administration, education and health",21111
E07000082,Stroud,7,"O, P, Q Public administration, education and health",17653
E07000083,Tewkesbury,7,"O, P, Q Public administration, education and health",14673
E07000084,Basingstoke and Deane,7,"O, P, Q Public administration, education and health",26313
E07000085,East Hampshire,7,"O, P, Q Public administration, education and health",18415
E07000086,Eastleigh,7,"O, P, Q Public administration, education and health",21878
E07000087,Fareham,7,"O, P, Q Public administration, education and health",19097
E07000088,Gosport,7,"O, P, Q Public administration, education and health",14606
E07000089,Hart,7,"O, P, Q Public administration, education and health",14300
E07000090,Havant,7,"O, P, Q Public administration, education and health",17221
E07000091,New Forest,7,"O, P, Q Public administration, education and health",23504
E07000092,Rushmoor,7,"O, P, Q Public administration, education and health",17502
E07000093,Test Valley,7,"O, P, Q Public administration, education and health",20128
E07000094,Winchester,7,"O, P, Q Public administration, education and health",20943
E07000095,Broxbourne,7,"O, P, Q Public administration, education and health",12087
E07000096,Dacorum,7,"O, P, Q Public administration, education and health",20360
E07000098,Hertsmere,7,"O, P, Q Public administration, education and health",14820
E07000099,North Hertfordshire,7,"O, P, Q Public administration, education and health",19086
E07000102,Three Rivers,7,"O, P, Q Public administration, education and health",13567
E07000103,Watford,7,"O, P, Q Public administration, education and health",15269
E07000105,Ashford,7,"O, P, Q Public administration, education and health",19221
E07000106,Canterbury,7,"O, P, Q Public administration, education and health",24424
E07000107,Dartford,7,"O, P, Q Public administration, education and health",16808
E07000108,Dover,7,"O, P, Q Public administration, education and health",18099
E07000109,Gravesham,7,"O, P, Q Public administration, education and health",13405
E07000110,Maidstone,7,"O, P, Q Public administration, education and health",25432
E07000111,Sevenoaks,6,"K, L, M, N Financial, real estate, professional and administrative activities",15233
E07000112,Folkestone and Hythe,7,"O, P, Q Public administration, education and health",15343
E07000113,Swale,7,"O, P, Q Public administration, education and health",19871
E07000114,Thanet,7,"O, P, Q Public administration, education and health",20465
E07000115,Tonbridge and Malling,7,"O, P, Q Public administration, education and health",18079
E07000116,Tunbridge Wells,7,"O, P, Q Public administration, education and health",15642
E07000117,Burnley,7,"O, P, Q Public administration, education and health",12250
E07000118,Chorley,7,"O, P, Q Public administration, education and health",19141
E07000119,Fylde,7,"O, P, Q Public administration, education and health",12772
E07000120,Hyndburn,7,"O, P, Q Public administration, education and health",11402
E07000121,Lancaster,7,"O, P, Q Public administration, education and health",23579
E07000122,Pendle,7,"O, P, Q Public administration, education and health",10730
E07000123,Preston,7,"O, P, Q Public administration, education and health",24512
E07000124,Ribble Valley,7,"O, P, Q Public administration, education and health",9825
E07000125,Rossendale,7,"O, P, Q Public administration, education and health",11154
E07000126,South Ribble,7,"O, P, Q Public administration, education and health",19377
E07000127,West Lancashire,7,"O, P, Q Public administration, education and health",17269
E07000128,Wyre,7,"O, P, Q Public administration, education and health",17715
E07000129,Blaby,7,"O, P, Q Public administration, education and health",15676
E07000130,Charnwood,7,"O, P, Q Public administration, education and health",26932
E07000131,Harborough,7,"O, P, Q Public administration, education and health",14118
E07000132,Hinckley and Bosworth,7,"O, P, Q Public administration, education and health",15225
E07000133,Melton,7,"O, P, Q Public administration, education and health",6937
E07000134,North West Leicestershire,7,"O, P, Q Public administration, education and health",13313
E07000135,Oadby and Wigston,7,"O, P, Q Public administration, education and health",9221
E07000136,Boston,7,"O, P, Q Public administration, education and health",8359
E07000137,East Lindsey,7,"O, P, Q Public administration, education and health",16584
E07000138,Lincoln,7,"O, P, Q Public administration, education and health",15169
E07000139,North Kesteven,7,"O, P, Q Public administration, education and health",22287
E07000140,South Holland,4,"G, I Distribution, hotels and restaurants",11258
E07000141,South Kesteven,7,"O, P, Q Public administration, education and health",19910
E07000142,West Lindsey,7,"O, P, Q Public administration, education and health",14269
E07000143,Breckland,7,"O, P, Q Public administration, education and health",18241
E07000144,Broadland,7,"O, P, Q Public administration, education and health",19153
E07000145,Great Yarmouth,7,"O, P, Q Public administration, education and health",12433
E07000146,King's Lynn and West Norfolk,7,"O, P, Q Public administration, education and health",19894
E07000147,North Norfolk,7,"O, P, Q Public administration, education and health",11289
E07000148,Norwich,7,"O, P, Q Public administration, education and health",21955
E07000149,South Norfolk,7,"O, P, Q Public administration, education and health",22320
E07000163,Craven,7,"O, P, Q Public administration, education and health",7697
E07000164,Hambleton,7,"O, P, Q Public administration, education and health",14105
E07000165,Harrogate,7,"O, P, Q Public administration, education and health",23553
E07000166,Richmondshire,7,"O, P, Q Public administration, education and health",9559
E07000167,Ryedale,7,"O, P, Q Public administration, education and health",6573
E07000168,Scarborough,7,"O, P, Q Public administration, education and health",14159
E07000169,Selby,7,"O, P, Q Public administration, education and health",12712
E07000170,Ashfield,7,"O, P, Q Public administration, education and health",17480
E07000171,Bassetlaw,7,"O, P, Q Public administration, education and health",15904
